,Body
0,شسيش يبليبليب
2,بسمه تعالي باسلام شماره کارت آقاي انگوراني 6221 0610 3471 3562 بانک پاسارگاد
6,"اين ‏اسکريپت‏ لاک ‏هاي‏ موجود در ‏ديتابيس‏ ‏اتوماسيون‏ را به خارج از آن ‏منتقي‏ ‏مي‏ کند  و ‏وقتي‏ ‏بايد‏ استفاده شود که در هر دو ‏ديتابيس‏ ‏اصلي‏ و ‏لاگ‏ اطلاعات ‏لاگ‏ وجود داشته باشد‏.

"
7,بسمه تعالي جناب آقاي / سرکار خانم مديريت محترم با سلام و احترام ؛ باستحضار مي رساند در راستاي بهينه سازي فرآيندها از طريق بهبود عملکرد، شرکت پاياافزار ويرا با سابقه بيش از 10 سال در ارايه برترين راهکارهاي يکپارچه سازي به بهترين شرکت ها و دستگاه هاي دولتي و خصوصي کشور، مفتخر خواهد بود با راه اندازي سيستم جامع مالي يکپارچه تحت وب به شرکت محترم -------- برگ زرين ديگري بر کارنامه افتخارات خود بيفزايد. قابل توجه است که اين سيستم مشتمل بر زيرسيستم هاي مالي، خريد و تدارکات، فروش و بازرگاني، انبارداري و حسابداري انبار، خزانه داري، چک و بانک، حقوق و دستمزد و پرسنلي، توليد و بهاي تمام شده، اموال و دارايي هاي ثابت، فروش فروشگاهي، سيستم فروشگاهي فروش آنلاين و ... با امکان پشتيباني از مجموعه هاي هلدينگ و شرکت هاي زيرمجموعه و شعب را بدون محدوديت جغرافيايي، سخت افزاري و سيستم عاملي و همچنين، مستقل از ارز، مستقل از زبان و منطبق بر نيازهاي داخلي هر سازمان در اختيار مديران سطوح مختلف، کارشناسان و کاربران قرار مي دهد. نمونه هايي از خدمات قابل ارائه به شرح ذيل است: ? راهکارهاي عمومي مالي و مديريتي: امکان چيدمان هر نوع سرفصل حساب، تعيين 10 سطح کدينگ حساب، پشتيباني از شرکت هاي هلدينگ و شعب، تسعير ارز در کليه زيرسيستم ها، گزارشات تجميعي، مديريت حساب هاي شرکت هاي هلدينگ، تراز تجميعي، گردش وجوه نقد، مديريت شعب، با امکان تهيه گزارشات پويا و ... ? راهکارهاي انبار و حسابداري انبار: سريال ردگيري کالا، فرم هاي ريالي و مالي، ايجاد روند گردشي فرم ها، موجودي منطقي و ريالي و ... ? راهکارهاي فروش، بازرگاني و پخش: قراردادهاي قيمت گذاري، انواع تخفيفات، فروش کالا و اجزاي تشکيل دهنده آن، شعب و گزارشات تفکيکي، تشکيل باشگاه مشتريان، پشتيباني از کارت هواداري و ... ? راهکار خريد و تدارکات: ثبت قراردادهاي قيمت گذاري، سرشکني هزينه بهاي تمام شده، فرم هاي خريد با گزارشات تفکيکي و ... ? راهکار خزانه داري و موجودي نقد: تعيين کليشه هاي دريافت و پرداخت، تسويه فاکتور با امکان ارتباط با خريد و فروش، مغايرت بانکي، تسهيلات و عمليات بازپرداخت و ... ? راهکار حقوق و دستمزد: تعيين حقوق و دستمزد به صورت کاملا پارامتريک، تعريف فرمول هاي مورد نياز، گزارشات بيمه، دارايي، بانک و ...، صدور اسناد اتوماتيک براي هر نوع کدينگ و ... ? راهکار اموال و دارايي: ثبت دارايي در قالب هاي مختلف، تعيين قوانين و عمليات استهلاک، اعمال استهلاک در اسناد مورد نظر، پشتيباني از QR ، فهرست اموال در يک محل و ... ? راهکار بودجه و اعتبارات: رديف بودجه و تخصيص مبالغ با جواز زمان به کارگيري، 5 مرکز شناور، حساب هاي اجراي فرآيند بودجه، 8 سرفصل حسابداري جهت صدور اسناد مرکب، هزينه هاي رديف بودجه با 10 سطح با قابليت ارتباط با سرفصل هاي حسابداري، تفريغ بودجه، گزارش هاي هزينه و مصرف بودجه در کليه سطوح، برآورد بودجه براي سنوات آتي و ... ? راهکار توليد و بهاي تمام شده: ايستگاه هاي کاري، سرشکني سربار بر حسب نياز، خروج و انتقال مواد باقي مانده، هزينه دستمزد بر حسب ساعت کاري، صدور اتوماتيک اسناد در هر مرحله و ... ? قابليت يکپارچگي با سيستم هاي اداري، ارتباط با مشتريان و ... لازم به ذکر است اين شرکت به عنوان يک شرکت تخصصي ارائه دهنده راهکارهاي متنوع نرم افزاري مالي و اداري با توجه به بازخوردهاي اخذ شده از کسب و کارهاي متنوع در سال هاي متمادي فعاليت خود، به اين نتيجه رسيده است که راهکارهاي جامع، يکپارچه، مستقل از زمان و مکان البته با پياده سازي کليه مسائل امنيتي به روز و امکان سهولت کاربري و منعطف که همه ابعاد مورد نظر کاربران را در مجموعه اي يکپارچه در اختيار قرار مي دهد، نتايج بهتري را در پياده سازي و جلب رضايت مشتريان نسبت به سيستم هاي جزيره اي در پي دارد. در صورت نياز به اطلاعات بيشتر با شماره 88946262 آقاي / خانم ... تماس حاصل فرماييد. شايان ذکر است که شرکت پايا افزار ويرا تجربيات فراواني را در انواع صنايع توليدي، خدماتي، بازرگاني و دولتي با مشترياني نظير شرکت خدمات اول مخابرات، سازمان حج و زيارت، گلوبال پتروتک کيش، اشميت کرانس، گروه فن آوا، بازرگاني اسپادانا، بهثه رهبري در حج، تهران کنن وب، داده پردازي فن آوا ? ‎ KFC،? ، فني و مهندسي خاکريسه، مدرن اتوپارت، سلامت بازارگستردر رزومه کاري خود دارد. با سپاس
12,کاربر گرامي بخاطر عدم انجام کار در زمان مورد نظر اين يادآوري بصورت خودکار براي شما ارسال گرديد مشخصات کار ---------------------------------------- نام : ارجاع کار(10679) صنايع لبني اراک ( آقاي يوسفي ) - درخواست دموي حضوري نام درخواست کننده : يوسفي موضوع : درخواست دموي حضوري زمان شروع کار : 14:30 1395/03/17 کاربر انجام دهنده : وحيد خبازي
14,پارامترها چند خط اول پر شوند: -- TODO: Set ECE username password here: DECLARE @userName VARCHAR(50) = 'center'; DECLARE @pass NVARCHAR(50) = N'1'; -- TODO: Set the user the letters should be delivered to DECLARE @forwardToUser VARCHAR(50) = 'administrator';
16,"http://192.168.10.200:86/Areas/Crm/CrmVoipWebService/CrmWebService1.asmx public Boolean CallService(string CallId, string ActionId, string Param = """") ActionId = 1 ;Ringing ............ Param = ""UserId,CallerId"" ActionId = 2 ;Answer ActionId = 3 ;Finish"
18,کاربر گرامي بخاطر عدم انجام کار در زمان مورد نظر اين يادآوري بصورت خودکار براي شما ارسال گرديد مشخصات کار ---------------------------------------- نام : ارجاع کار(70951) پارسان ستاره قم ( پارسان ستاره قم-(داخلي3) (صميمي) ) - اعلان فروش به واحد پشتيباني نام درخواست کننده : خانم شمسيان موضوع : اعلان فروش به واحد پشتيباني زمان شروع کار : 12:50 1395/05/11 کاربر انجام دهنده : محمدحسين باقري
20,کاربر گرامي کار شما در تاريخ 16:30 1395/05/17 بخاطر اينکه در زمان مذکور انجام نشده بصورت خودکار به کاربر وحيد خبازي ارسال گرديد. مشخصات کار ارسال شده : ---------------------------------------- نام : ارجاع کار(70984) شرکت سرمايه گذاري صبا جهاد ( شرکت سرمايه گذاري صبا جهاد ) - اعلام اشکال در برنامه (بدون فرم) نام درخواست کننده : آقاي بهادري موضوع : اعلام اشکال در برنامه (بدون فرم) زمان شروع کار : 16:00 1395/05/17 کاربر انجام دهنده : وحيد خبازي
21,کاربر گرامي بخاطر عدم انجام کار در زمان مورد نظر اين يادآوري بصورت خودکار براي شما ارسال گرديد مشخصات کار ---------------------------------------- نام : ارجاع کار(70984) شرکت سرمايه گذاري صبا جهاد ( شرکت سرمايه گذاري صبا جهاد ) - اعلام اشکال در برنامه (بدون فرم) نام درخواست کننده : آقاي بهادري موضوع : اعلام اشکال در برنامه (بدون فرم) زمان شروع کار : 16:00 1395/05/17 کاربر انجام دهنده : وحيد خبازي
