,Body
377,"‏بسمه تعالي

‏مديريت محترم امور مالي مجموعه ي بهين برق
‏جناب آقاي احمدي
‏با سلام

‏احتراماً با توجه به جلسات برگزار شده و انجام امور مربوط به ورود اطلاعات پايه، تنظيمات سيستمي و چيدمان فرآيندها، همچنين آموزش کليه ي فرم ها و فرآيندها، بدينوسيله اعلام ميدارد، استقرار سيستم در آن مجموعه انجام‏ ‏و‏ ‏کامل‏ ‏شده و ضمن تست و بررسي فرآيندها،‏ ‏تحويل و‏ ‏مورد تأييد‏ ‏قرار گرفته است.
‏بديهي است ممکن است موارد،‏ ‏ابهامات و سوالاتي وجود داشته باشد که طبيعتاً در قالب قرارداد پشتيباني به آن رسيدگي مي گردد و فرآيند آن در حال انجام مي باشد.
‏از همکاري جنابعالي و کليه ي افراد مرتبط، کمال تشکر را دارم.
"
459,لطفا ورژن نرم افزار پايدار را براي بالسا(داريوش آهنگري) بروزرساني کنيد 
460,لطفا نسخه نرم افزار پايدار را بروزرساني کنيد 
1515,"سمه تعالي

‏مديريت محترم امورمالي مجموعه فن آوران اقتصاد سيراف
‏جناب آقاي آقابزرگ
‏باسلام 

‏احتراماً پيرو درخواست کانورت اطلاعات به اتوماسيون مالي پايدار  به استحضار ميرسد، اطلاعات مرتبط اسناد سه سال مالي 97،98و99 کانورت شده و بر روي سايت اصلي شما قابل مشاهده است. لذا خواهشمند است نسبت به بررسي اطلاعات اقدام بفرماييد و تاييديه انجام کار را به صورت مکتوب ارسال بفرماييد.
"
2854,"‏5454
‏بي

‏سب
‏سي
"
4170,لطفا تعداد صفحاتگزارش انگليش هوم را از 200 به 400 صفحه افزايش دهيد. 
4365,"‏3
‏0543054
"
4376,"Dfgdfg

Dfg
Dfg

‏سشي
‏شس
‏ي
‏سشي
"
7184,"‏صضصث
‏ضص
‏ثضص
‏ث
‏ضصث
‏ضص
‏ث
‏ضص
"
8050,sdasd 
8051,لطفا نوع برگه هاي وارده برگشت از فروش که تاريخ آنها قبل از ثبت صادره متناظر با فاکتور فروش لينک شده است به اول وارده تغيير يابد. 
9942,5265 
9950,در چاپ سفارش فروش واحد سنجش را به اشتباه درج ميکند . لطفا محاسبات سفارش فروش و فرمت آن عين فاکتور فروش شود. ( اشکال سفارش فروش در اين است که مبلغ سفارش در گريد با مبلغي که درچاپ است متفاوت است ) 
9956,در قرارداد پيمانکاري با شماره 1103 کالا با کد 024104200000991 5 عدد وارد شده اما 10 عدد فروخته شده که اين باعث شده در گزارش مانده قرارداد پيمانکاري فروش مقدار باقيمانده منفي5 نمايش داده مي‌شود لطفا مورد بررسي شود که چرا فروش بيشتر از يک قرار داد پيمانکاري امکان پذير است.مورد بعدي در اين قرارداد اين است که با اينکه پنج عدد بيشتر از تعداد کالاي داده شده در قرارداد فروش رفته اما باقيمانده را پنج عدد نمايش داده ميشود که اين باعث ميشود باز هم از اين قرارداد پيمانکاري کالا فروخته شود. 
9961,آقاي فراستي طي تماس تلفني که باايشان داشتيم اعلام کردند که دو ماه است که کار حقوق و دستمزد ايشان با وجود نامه‌نگاري با پايا عقب افتاده لطفا براي بررسي موارد باز با اين شرکت اقدام فرماييد 
9985,لطفاً پيامک ورود به سيستم ، فقط به شماره 09107898990 ارسال شود. باتشکر 
9989,لطفا ماهيت حساب 6/615/010(حساب برگشت از فروش و تخفيفات )از بستانکار به بهدکار تغيير کند 
9991,در بروزرساني جداول در نرم افزار پيوند تاريخ پايان تخفيف اعمال نميشود و وقتي تخفيف به تارخ پاياني خود ميرسد همچنان در پيوند اعمال ميشود، تا زماني که جداول آفلاين در پايدار بروزرساني شوند.لطفا اينمورد را بررسي فرماييد 
9993,در هنگام پاک کردن سند برگه پرداخت باشماره سربرگ 100003با پيغام خطا مواجه ميشوند 
9995,حذف تفصيلي واحدهاي چاپخانه از کد حساب 8/810/010 شرکت مشعر 
10031,تستست 
10032,qqq 
10058,لطفاً نوع فرم برگه وارده انبار به شماره سربرگ 00200015 از انتقال  از انبار به وارده هدايا تغيير يابد. علت تغيير اين نوع فرم به دليل حذف برگه صادره انتقال به انبار است که وارده اتومات صادر شده از آن حذف نگرديده است و اين مورد فرآيند ريالي کردن را متوقف کرده است. 
10059,در نرم افزار پخش پينار ميتوان مبلغ دريافت در فاکتور را بيش از مبلغ فاکتور تعيين کرد.هنگامي که فاکتور فروش و دريافت متناظر با آن به پايدار ارسال ميشوند  در بابت دريافت معادل مبلغ فاکتور مبلغ اصلاح ميشود اما مابقي دريافت بلاتکليف است. 
10060,تست 
10100,لطفا در چاپ فاکتورهاي 8 سانتي انگليش هوم اندازه شماره فاکتور را افزايش دهيد 
10109,در سيستم /حقوق و دستمزد/ پرسنلي/اطلاعات استخدامي / دسترسي فهرست اطلاعات استخدامي به تفکيک شعبه نمي باشد و کاربر با داشتن دسترسي اطلاعات استخدامي مي تواند ليست همه شعبه ها را مشاهده کند. لطفا اصلاح شود و با توجه به فوريت شرکت توانير خواهشمند است هرچه سريعتر اقدام گردد. 
10121,تفصيلي بانک با کد 0700004 (اقتصاد نوين)گردش ندارد اما هنگام پاک کردن تفصيلي اطلاعات مربوط به اين حساب بانکي در جدول subaccountdata باعث ايجاد پيغام خطا با همين مضمون مي‌شود. 
